id,created_at,text
1218407302438510597,2020-01-18 05:38:32,"b'@z3nblack Randomly remembered this reply and thought it could have been, ""There\'s only so long u can float around l\xe2\x80\xa6 https://t.co/pvzLfMAG5y'"
1217715100896854016,2020-01-16 07:47:58,b'@stephaniersimon @ycombinator @emeka_boris'
1216467349164953600,2020-01-12 21:09:51,b'@realteewhy @UberFacts *commences in-depth analysis of this reply...'
1216453693534543872,2020-01-12 20:15:35,b'@UberFacts @realteewhy'
1215729252101959680,2020-01-10 20:16:55,b'@ShaneAParrish A Christmas Carol\xf0\x9f\x98\x8a'
1215688902633250816,2020-01-10 17:36:35,"b""@Riqblaze @J_Onwu \xf0\x9f\x98\x82 Haha. We've reached the deontological vs. utilitarian fork in the road; To turn on location and\xe2\x80\xa6 https://t.co/fPUMLLfu6r"""
1215683674403938311,2020-01-10 17:15:48,"b""@Riqblaze Lol. As long as you're not planning an infanticide too\xf0\x9f\x99\x83"""
1215682738084294656,2020-01-10 17:12:05,"b""@Riqblaze I've been wanting to read Sunset At Dawn for more than a decade. Time to actively look for it, athink."""
1215681513091551232,2020-01-10 17:07:13,"b""@Riqblaze Ameobi\xf0\x9f\x98\xad\xe2\x99\xa5\xef\xb8\x8f.\nThis was the book where I learnt the word 'ostracize'"""
1212460061571895297,2020-01-01 19:46:19,b'2020 wishlist:\n1. @ShaneAParrish interviewing \n@nntaleb on The Knowledge Project.'
1212045175930970113,2019-12-31 16:17:43,b'@salesforce \xf0\x9f\x98\xb6'
1212039473892122625,2019-12-31 15:55:03,b'@z3nblack Aye!!!'
1211685938876817409,2019-12-30 16:30:14,b'@ololadetosin06 Go cry to your mummy and explain yourself. *Laughs in The Way of Kings'
1198241187238465536,2019-11-23 14:05:35,"b""@AbstractOnion Oh. I'm somehow just getting to see this. Thank you."""
1197302569804161025,2019-11-20 23:55:52,b'@twyse_116 Inflation led to deflation? https://t.co/egxksZFWSl'
1196506091699486720,2019-11-18 19:10:56,"b'@AbstractOnion Yep, and residually, the reply on The Unbearable Lightness of Being.'"
1196505810727243776,2019-11-18 19:09:49,"b'@AbstractOnion Technically, I followed this tweet.'"
1193904258619457536,2019-11-11 14:52:11,"b'@Olutominsin ""I feel this, do you?""\xf0\x9f\x99\x83'"
1186508057058123776,2019-10-22 05:02:19,"b""@z3nblack I'm hoping this counts for mid 20s folks too."""
1185701474610925583,2019-10-19 23:37:15,b'\xf0\x9f\x92\x99 https://t.co/gaNZ9QNmEn'
1183343045430956033,2019-10-13 11:25:42,b'@ItsUncleStephen @gafiyung'
1182751105467535362,2019-10-11 20:13:32,b'@EzraelAni @gafiyung'
1182737905372094466,2019-10-11 19:21:05,b'@TalebWisdom Ha!'
1182677866418454528,2019-10-11 15:22:31,b'@Nnedi @Olutominsin That very food book\xf0\x9f\x99\x85'
1182357429125894144,2019-10-10 18:09:12,b'@fkabudu @gafiyung'
1181135783459209217,2019-10-07 09:14:49,b'@funmioyatogun @lashennyeands on Instagram'
1180969352583110660,2019-10-06 22:13:29,b'RT @badsciencejoks: She\xe2\x80\x99s not wrong https://t.co/vkYkDVMDUD https://t.co/N0OjGEq8wp'
1180959261679071234,2019-10-06 21:33:23,"b""@Riqblaze @ImohUmoren @MhistaMega Lol. Are we really building a repository here? Yep. There's nothing to not like about 'em"""
