name,brand,price
Apple ,"IPhone 11 Pro Max, 6.5 Inch 512GB ROM 4G LTE Dual SIM - Gold","₦ 750,000 "
Apple ,IPhone 8 Plus 64GB 5.5 Inch IOS Smartphone (Refurbished) - Silvery,"₦ 153,500 "
Apple ,"IPhone XS Max (4GB RAM, 256GB ROM) IOS 12 (12MP + 12MP)+7MP Gold","₦ 410,000 "
Apple ,IPhone 6s 4.7 Inch 64GB ROM+2GB-12MP+5MP-With Fingerprint(Refurbished)-Grey,"₦ 68,090 "
Apple ,"IPhone X Mobile Phone (256GB ROM, 3GB RAM) 5.8 Inch With Tempered Glass Smartphone - Black","₦ 259,900 "
Apple ,"IPhone 11 Pro Max 6.5-Inch Super Retina XDR OLED Single Sim  (4GB RAM, 512GB ROM),iOS 13, (12MP+12MP+12MP)+12MP 4G LTE Smartphone - Silver","₦ 560,000 "
Apple ,IPhone 8 Plus 64GB 5.5 Inch IOS Smartphone (Refurbished) - Red,"₦ 147,670 "
Apple ,IPhone 6 Plus 5.5'' 64GB 8MP IOS Smartphone With Fingerprint (Refurbished）- Gold,"₦ 74,005 "
Apple ,IPhone 6 4.7 Inch 1GB + 32GB 8MP + 1.2MP Finger Sensor 4G LTE Smartphone (Free Gift) – Grey,"₦ 43,290 "
Apple ,IPhone 6 4.7 Inch 16G-ROM Finger Sensor 4G LTE Smartphone (Free Gift) – Grey,"₦ 39,950 "
Apple ,"IPhone 11 Pro, 5.8 Inch 64GB ROM 4G LTE Dual Nano SIM  - Space Gray","₦ 485,000 "
Apple ,IPhone 7 Plus 32GB 5.5 Inch IOS Smartphone (Refurbished) - Black,"₦ 112,550 "
Apple ,IPhone 6 Plus Refurbished Smartphone 5.5inch 16GB - Gold,"₦ 45,510 "
Apple , IPhone 7 Plus 5.5'' Inch 128GB+3GB-12MP+7MP With Fingerprint Smartphone (Refurbished)-Black,"₦ 121,460 "
Apple ,IPhone 6 Plus 5.5 Inch 1GB + 16GB 8MP + 1.2MP Finger Sensor 4G LTE Smartphone ( Free Gift) – Gold,"₦ 52,910 "
Apple ,"IPhone 11 Pro Max, 6.5 Inch 512GB ROM 4G LTE Dual SIM - Gold","₦ 740,000 "
Apple ,"IPhone 11 Pro Max, 6.5 Inch 64GB ROM 4G LT Dual SIM - Space Gray","₦ 530,000 "
Apple ,"IPhone XS Max (4GB RAM, 256GB ROM) IOS 12 (12MP + 12MP)+7MP Rom-Gold","₦ 360,000 "
Apple ,"IPhone XR (3GB RAM, 128GB ROM) IOS 12 (12MP+7MP) - (Nano-SIM & E-SIM) - Yellow","₦ 280,000 "
Apple ,"IPhone 6s 4.7 Inch (16GB ROM, 2GB0-12MP+5MP-With Fingerprint(Refurbished)-Rose Gold","₦ 55,900 "
